threshold,passed_seed_count,minimum_seed_constraint_margin,mean_balanced_accuracy,minimum_worst_batch_engage_recall,minimum_worst_batch_noop_recall,minimum_worst_scenario_engage_recall,minimum_worst_scenario_noop_recall
-1.9759713411331177,0,-0.65,0.6182864450127877,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.957112967967987,0,-0.65,0.6197357203751066,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.9459692239761353,0,-0.65,0.6211849957374255,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.9387062788009644,0,-0.65,0.6226342710997443,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.925998568534851,0,-0.65,0.6240835464620631,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.9187753200531006,0,-0.65,0.625532821824382,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.9075276255607605,0,-0.65,0.6269820971867007,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8920620679855347,0,-0.65,0.6284313725490196,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8854831457138062,0,-0.65,0.6298806479113385,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8787413239479065,0,-0.65,0.6313299232736573,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8714749813079834,0,-0.65,0.6327791986359762,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8664737343788147,0,-0.65,0.634228473998295,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8626105189323425,0,-0.65,0.6356777493606138,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8510366678237915,0,-0.65,0.6371270247229327,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.835350215435028,0,-0.65,0.6385763000852516,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8267269730567932,0,-0.65,0.6400255754475703,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.8203474283218384,0,-0.65,0.6414748508098892,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7985988855361938,0,-0.65,0.6429241261722081,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7793477773666382,0,-0.65,0.6443734015345269,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7721083164215088,0,-0.65,0.6458226768968457,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7564871311187744,0,-0.65,0.6472719522591646,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.739827573299408,0,-0.65,0.6487212276214834,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7323870062828064,0,-0.65,0.6501705029838022,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7313969731330872,0,-0.65,0.6516197783461211,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7303485870361328,0,-0.65,0.6530690537084399,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7256413102149963,0,-0.65,0.6506180733162831,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.718337595462799,0,-0.65,0.6520673486786018,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.7025418281555176,0,-0.65,0.6535166240409207,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.676335096359253,0,-0.65,0.6549658994032396,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.6583009362220764,0,-0.65,0.6564151747655584,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.639042854309082,0,-0.65,0.6578644501278772,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.6236107349395752,0,-0.65,0.6593137254901961,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.6098981499671936,0,-0.65,0.6607630008525148,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.5968162417411804,0,-0.65,0.6622122762148338,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.5915660858154297,0,-0.65,0.6636615515771526,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.5852474570274353,0,-0.65,0.6651108269394714,0.9583333333333334,0.0,0.9615384615384616,0.20689655172413793
-1.5643003582954407,0,-0.65,0.6665601023017903,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.5428019165992737,0,-0.65,0.6680093776641091,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.538239061832428,0,-0.65,0.669458653026428,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.5344540476799011,0,-0.65,0.6709079283887469,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.5217323303222656,0,-0.65,0.6723572037510657,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.5093741416931152,0,-0.65,0.6738064791133845,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.5071284174919128,0,-0.65,0.6752557544757033,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.5050092935562134,0,-0.65,0.6767050298380223,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.489460051059723,0,-0.65,0.678154305200341,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.4729480147361755,0,-0.65,0.6796035805626599,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.4603347182273865,0,-0.65,0.6810528559249788,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.4468924403190613,0,-0.65,0.6825021312872975,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.4085693359375,0,-0.65,0.6839514066496163,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.3576679229736328,0,-0.65,0.6854006820119353,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.3165901899337769,0,-0.65,0.6868499573742541,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.28239244222641,0,-0.65,0.6882992327365729,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
-1.2716290950775146,0,-0.65,0.6897485080988917,0.9583333333333334,0.0,0.9615384615384616,0.2413793103448276
