objective,model_seed,threshold,count,engage_count,noop_count,accuracy,balanced_accuracy,engage_recall,noop_recall,false_noop_rate,wasteful_engage_rate,worst_batch_engage_recall,worst_batch_noop_recall,worst_scenario_engage_recall,worst_scenario_noop_recall,safety_sign_accuracy,engage_margin,noop_margin,balanced_accuracy_margin,safety_sign_margin,minimum_constraint_margin,predicted_engage_count,passed_check_count,feasible,pareto_frontier,check_balanced_accuracy,check_engage_recall,check_noop_recall,check_batch_engage_recall,check_batch_noop_recall,check_scenario_engage_recall,check_scenario_noop_recall,check_safety_sign_accuracy
scenario_robust_reliable_cost,22,-0.31039923429489136,183,68,115,0.7158469945355191,0.7588874680306905,0.9264705882352942,0.591304347826087,0.07352941176470588,0.40869565217391307,0.875,0.325,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.325,0.05888746803069056,0.018232044198895125,-0.325,110,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.3009640574455261,183,68,115,0.7213114754098361,0.763235294117647,0.9264705882352942,0.6,0.07352941176470588,0.4,0.875,0.325,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.325,0.06323529411764706,0.018232044198895125,-0.325,109,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.28314507007598877,183,68,115,0.726775956284153,0.7675831202046036,0.9264705882352942,0.6086956521739131,0.07352941176470588,0.391304347826087,0.875,0.35,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.30000000000000004,0.06758312020460366,0.018232044198895125,-0.30000000000000004,108,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.26255573332309723,183,68,115,0.73224043715847,0.7719309462915601,0.9264705882352942,0.6173913043478261,0.07352941176470588,0.3826086956521739,0.875,0.375,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.275,0.07193094629156016,0.018232044198895125,-0.275,107,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.2397243231534958,183,68,115,0.7377049180327869,0.7762787723785167,0.9264705882352942,0.6260869565217392,0.07352941176470588,0.3739130434782609,0.875,0.4,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.25,0.07627877237851677,0.018232044198895125,-0.25,106,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.21720699965953827,183,68,115,0.7431693989071039,0.7806265984654732,0.9264705882352942,0.6347826086956522,0.07352941176470588,0.3652173913043478,0.875,0.4,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.25,0.08062659846547326,0.018232044198895125,-0.25,105,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.2061304897069931,183,68,115,0.7486338797814208,0.7849744245524297,0.9264705882352942,0.6434782608695652,0.07352941176470588,0.3565217391304348,0.875,0.425,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.22500000000000003,0.08497442455242976,0.018232044198895125,-0.22500000000000003,104,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.19689849019050598,183,68,115,0.7540983606557377,0.7893222506393862,0.9264705882352942,0.6521739130434783,0.07352941176470588,0.34782608695652173,0.875,0.45,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.2,0.08932225063938626,0.018232044198895125,-0.2,103,6,False,False,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.15509074926376343,183,68,115,0.7595628415300546,0.7936700767263427,0.9264705882352942,0.6608695652173913,0.07352941176470588,0.3391304347826087,0.875,0.475,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.17500000000000004,0.09367007672634275,0.018232044198895125,-0.17500000000000004,102,6,False,False,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.0946771502494812,183,68,115,0.7650273224043715,0.7980179028132992,0.9264705882352942,0.6695652173913044,0.07352941176470588,0.33043478260869563,0.875,0.475,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.17500000000000004,0.09801790281329925,0.018232044198895125,-0.17500000000000004,101,6,False,False,True,True,True,True,False,True,False,True
