criticality_score,group_id,legal_relation_count,max_damage_potential,max_threat,mean_cost_delta,mean_harm_delta,mean_total_return_delta,min_time_to_impact,rollouts,scenario,source_seed,split,state_id,step_fraction,unit_index
0.12125441586198261,task14b/seed8/time_pressure/episode3/step0/unit0,3,0.8156573094476992,0.8987415014625048,0.6051890850067139,5.587301731109619,-4.243766784667969,27.85666076719807,32,time_pressure,8,train,task14b/seed8/time_pressure/episode3/step0,0.0,0
0.12125441586198261,task14b/seed8/time_pressure/episode3/step0/unit1,3,0.8156573094476992,0.8987415014625048,0.4904177486896515,4.014674186706543,-4.054559707641602,27.85666076719807,32,time_pressure,8,train,task14b/seed8/time_pressure/episode3/step0,0.0,1
1.1872062848982434,task14b/seed8/time_pressure/episode21/step9/unit1,6,1.0598932138741244,0.9197948492695179,0.2636193633079529,11.340278625488281,-7.966317176818848,14.14055479731896,32,time_pressure,8,test,task14b/seed8/time_pressure/episode21/step9,0.18,1
1.1872062848982434,task14b/seed8/time_pressure/episode21/step9/unit2,6,1.0598932138741244,0.9197948492695179,0.3165137767791748,-3.027629852294922,3.1132102012634277,14.14055479731896,32,time_pressure,8,test,task14b/seed8/time_pressure/episode21/step9,0.18,2
0.5948707838519208,task14b/seed8/time_pressure/episode14/step20/unit2,2,0.43235752829229723,0.7578550929585581,0.3712676763534546,-0.5107923746109009,0.33431535959243774,5.546908111049375,32,time_pressure,8,train,task14b/seed8/time_pressure/episode14/step20,0.4,2
2.6416291816700173,task14b/seed8/time_pressure/episode44/step45/unit2,1,0.9803590056775698,0.8291891085283781,0.46937501430511475,-15.257048606872559,10.641271591186523,1.1378926654642567,32,time_pressure,8,train,task14b/seed8/time_pressure/episode44/step45,0.9,2
4.526939784732117,task14b/seed8/heterogeneity_pressure/episode21/step26/unit0,6,0.7730982821869545,0.83075017502826,0.20482608675956726,-4.835838317871094,7.408287525177002,0.5038322724148361,32,heterogeneity_pressure,8,train,task14b/seed8/heterogeneity_pressure/episode21/step26,0.52,0
4.526939784732117,task14b/seed8/heterogeneity_pressure/episode21/step26/unit2,6,0.7730982821869545,0.83075017502826,0.2553304433822632,-5.241588592529297,7.137917518615723,0.5038322724148361,32,heterogeneity_pressure,8,train,task14b/seed8/heterogeneity_pressure/episode21/step26,0.52,2
4.47117936791622,task14b/seed8/heterogeneity_pressure/episode14/step39/unit2,3,1.1345846921077631,0.9785320179046355,0.12036214768886566,-2.363290548324585,3.014364242553711,0.042769753634990165,32,heterogeneity_pressure,8,train,task14b/seed8/heterogeneity_pressure/episode14/step39,0.78,2
4.171801330151724,task14b/seed8/heterogeneity_pressure/episode42/step28/unit2,2,0.9242913484266438,0.8952536716713688,0.1259888857603073,-7.580204010009766,6.68757438659668,0.06430719060394267,32,heterogeneity_pressure,8,train,task14b/seed8/heterogeneity_pressure/episode42/step28,0.56,2
3.976388782934731,task14b/seed8/heterogeneity_pressure/episode44/step38/unit2,2,1.1417414606939167,0.9906214509637651,0.3502929210662842,-24.002674102783203,25.182403564453125,0.25316897799716565,32,heterogeneity_pressure,8,test,task14b/seed8/heterogeneity_pressure/episode44/step38,0.76,2
3.9403801704900827,task14b/seed8/heterogeneity_pressure/episode13/step37/unit2,3,1.2641279660563685,0.9731105617386623,0.24378271400928497,-8.469897270202637,6.987674236297607,0.19185089537313027,32,heterogeneity_pressure,8,train,task14b/seed8/heterogeneity_pressure/episode13/step37,0.74,2
3.011482934634657,task14b/seed8/heterogeneity_pressure/episode6/step22/unit0,7,1.116501928735945,0.8688668914247034,0.26587218046188354,-2.362980365753174,3.273153781890869,3.598406299224288,32,heterogeneity_pressure,8,test,task14b/seed8/heterogeneity_pressure/episode6/step22,0.44,0
3.011482934634657,task14b/seed8/heterogeneity_pressure/episode6/step22/unit2,7,1.116501928735945,0.8688668914247034,0.19252774119377136,2.955624580383301,-1.8065545558929443,3.598406299224288,32,heterogeneity_pressure,8,test,task14b/seed8/heterogeneity_pressure/episode6/step22,0.44,2
2.856928666969352,task14b/seed8/heterogeneity_pressure/episode5/step25/unit2,1,1.118346140432891,0.8742302208115593,0.21219822764396667,-13.4170503616333,14.208013534545898,0.5253569734652854,32,heterogeneity_pressure,8,test,task14b/seed8/heterogeneity_pressure/episode5/step25,0.5,2
2.833367668748973,task14b/seed8/heterogeneity_pressure/episode26/step31/unit2,3,1.0074402085706309,0.8037661780984806,0.29781150817871094,-2.002692937850952,0.7774097919464111,0.45605530587349397,32,heterogeneity_pressure,8,validation,task14b/seed8/heterogeneity_pressure/episode26/step31,0.62,2
2.8115276845541533,task14b/seed8/heterogeneity_pressure/episode2/step45/unit2,2,0.8020368967548895,0.661443642067089,0.19042211771011353,-4.800027370452881,5.725699424743652,0.10117027296437447,32,heterogeneity_pressure,8,test,task14b/seed8/heterogeneity_pressure/episode2/step45,0.9,2
2.7939163162198475,task14b/seed8/heterogeneity_pressure/episode31/step37/unit2,2,1.0924042739524964,0.9173153933324728,0.014782573096454144,-1.649129033088684,0.7668683528900146,0.42547608539925613,32,heterogeneity_pressure,8,train,task14b/seed8/heterogeneity_pressure/episode31/step37,0.74,2
2.6234247618462727,task14b/seed8/heterogeneity_pressure/episode5/step18/unit0,6,1.118346140432891,0.9502412614875162,0.1987638771533966,-3.3495006561279297,0.7192935943603516,3.424982859885171,32,heterogeneity_pressure,8,validation,task14b/seed8/heterogeneity_pressure/episode5/step18,0.36,0
2.6234247618462727,task14b/seed8/heterogeneity_pressure/episode5/step18/unit2,6,1.118346140432891,0.9502412614875162,0.23614685237407684,-4.950876235961914,4.794008731842041,3.424982859885171,32,heterogeneity_pressure,8,validation,task14b/seed8/heterogeneity_pressure/episode5/step18,0.36,2
2.5015690777737403,task14b/seed8/heterogeneity_pressure/episode41/step27/unit2,3,1.192080422211354,0.9341383677550182,0.2154720425605774,-7.394060134887695,7.789902210235596,1.282759573264214,32,heterogeneity_pressure,8,validation,task14b/seed8/heterogeneity_pressure/episode41/step27,0.54,2
2.4837744088999023,task14b/seed8/heterogeneity_pressure/episode6/step25/unit2,4,1.116501928735945,0.8688668914247034,0.1644081175327301,-0.955145001411438,3.3188669681549072,0.5984058814367605,32,heterogeneity_pressure,8,validation,task14b/seed8/heterogeneity_pressure/episode6/step25,0.5,2
2.4538232090750345,task14b/seed8/heterogeneity_pressure/episode20/step28/unit2,3,1.3429823139938395,0.9433431965334528,0.0639943927526474,-3.5491206645965576,4.189311981201172,1.0659226832296573,32,heterogeneity_pressure,8,test,task14b/seed8/heterogeneity_pressure/episode20/step28,0.56,2
