context_id,scenario,policy_seed,slot,episode_index,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,legal_targets,target_probabilities,safety_score,resource_score
confirm_time_pressure_seed19_resource00_e00_t38_u1,time_pressure,19,resource,0,887417734,38,1978a62e9377a91428753caeaf0826465eb11ea2ac7418a78d7eac64d6ba327f,1,missile,2.0,0,1,0.7413482930505831,2.666666666666667
confirm_time_pressure_seed19_resource01_e00_t38_u0,time_pressure,19,resource,0,887417734,38,1978a62e9377a91428753caeaf0826465eb11ea2ac7418a78d7eac64d6ba327f,0,missile,2.0,0,1,0.7413482930505831,2.666666666666667
confirm_time_pressure_seed19_resource02_e00_t37_u1,time_pressure,19,resource,0,887417734,37,388f3377cfb5ed162498c4bcf0ed28e6bd0b4f87078c4fc7e4e75e184fcf8672,1,missile,2.0,0,1,0.2954788585403286,2.666666666666667
confirm_time_pressure_seed19_resource03_e12_t22_u2,time_pressure,19,resource,12,887417746,22,4beaee58d1cbccd966a3267beec33f8e4944bfbda809358cbb65b182631c9ac3,2,laser,0.5,"3,4","0.48928207159,0.51071792841",0.15814655008640421,2.15
confirm_time_pressure_seed19_resource04_e00_t24_u2,time_pressure,19,resource,0,887417734,24,b29d66b5b2be3d6d7b8f3a1a97ee84a7b496af81070b7caa941c42fc115462d5,2,laser,0.5,"0,1","0.498870223761,0.501129806042",0.08133403466343414,2.15
confirm_time_pressure_seed19_resource05_e11_t25_u2,time_pressure,19,resource,11,887417745,25,43222e03c5b166397448b7d7dd53f2e5966c05c42655e7bac31a9ea705508fe6,2,laser,0.5,"0,3","0.515860915184,0.484139084816",0.4274268456232758,2.15
confirm_heterogeneity_pressure_seed17_safety00_e06_t33_u2,heterogeneity_pressure,17,safety,6,1452268371,33,621fac2c235474983f49ee4750b592644dc1c238f30a3b8270561dc1d3309714,2,laser,0.25,"0,3,4","0.34065720439,0.329764217138,0.329578608274",2.567360530616764,0.8892857142857143
confirm_heterogeneity_pressure_seed17_safety01_e10_t26_u2,heterogeneity_pressure,17,safety,10,1452268375,26,d9e7fd5049545fef0abffe09e628db674fe5c9cf5021fb0160964d40e676012c,2,laser,0.25,0,1,2.5489368692466257,0.6892857142857143
confirm_heterogeneity_pressure_seed17_safety02_e02_t24_u2,heterogeneity_pressure,17,safety,2,1452268367,24,bd1cbe603db03d536c9642310e761baf8be9576cbf82a75d5b6b506e11ce0b75,2,laser,0.25,4,1,1.9647259657710932,0.6892857142857143
confirm_heterogeneity_pressure_seed17_safety03_e05_t30_u2,heterogeneity_pressure,17,safety,5,1452268370,30,5390fa22e0eb721803fa60cf74d4e05a028b69f666b816fff947014ed4ad7502,2,laser,0.25,4,1,1.8403135309136565,0.4892857142857143
