method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,0,8,16128,all,768,1446,0.5571686029434204,0.442831426858902,0.5705961585044861,0.6415268182754517,0.8503592014312744,0.0,-29.14487648010254
role_conditioned_ar_ppo_order_012,medium,0,8,16128,heterogeneity_pressure,256,457,0.5503055453300476,0.44969442486763,0.5664710402488708,0.6512805819511414,0.8186748623847961,0.0,-25.156280517578125
role_conditioned_ar_ppo_order_012,medium,0,8,16128,medium,256,497,0.5411632657051086,0.45883676409721375,0.6019687652587891,0.6451032757759094,0.8055160641670227,0.0,-32.07167053222656
role_conditioned_ar_ppo_order_012,medium,0,8,16128,time_pressure,256,492,0.5797114372253418,0.42028865218162537,0.5427363514900208,0.6288542151451111,0.9250883460044861,0.0,-30.206684112548828
role_conditioned_ar_ppo_order_012,medium,0,8,18176,all,768,1446,0.5903897881507874,0.40961021184921265,0.41632726788520813,0.6307632923126221,0.8501945734024048,0.0,-31.358678817749023
role_conditioned_ar_ppo_order_012,medium,0,8,18176,heterogeneity_pressure,256,457,0.5822699666023254,0.4177299439907074,0.42640596628189087,0.641501247882843,0.8187674283981323,0.0,-30.067626953125
role_conditioned_ar_ppo_order_012,medium,0,8,18176,medium,256,497,0.5773526430130005,0.42264729738235474,0.43288755416870117,0.6346448063850403,0.8052307963371277,0.0,-33.73284149169922
role_conditioned_ar_ppo_order_012,medium,0,8,18176,time_pressure,256,492,0.6111014485359192,0.3888985216617584,0.39023688435554504,0.6168681979179382,0.9248068928718567,0.0,-30.275569915771484
role_conditioned_ar_ppo_order_012,medium,0,8,20224,all,768,1446,0.4240562319755554,0.5759437084197998,1.156457543373108,0.628833532333374,0.8499211072921753,0.0,-22.51593589782715
role_conditioned_ar_ppo_order_012,medium,0,8,20224,heterogeneity_pressure,256,457,0.4107574224472046,0.5892425179481506,1.1766936779022217,0.6322562098503113,0.8183310031890869,0.0,-20.88906478881836
role_conditioned_ar_ppo_order_012,medium,0,8,20224,medium,256,497,0.40662094950675964,0.5933790802955627,1.1927438974380493,0.6241477131843567,0.8049215078353882,0.0,-25.761768341064453
role_conditioned_ar_ppo_order_012,medium,0,8,20224,time_pressure,256,492,0.45402148365974426,0.5459784865379333,1.1010057926177979,0.6303877234458923,0.924720823764801,0.0,-20.89697265625
role_conditioned_ar_ppo_order_012,medium,0,8,22016,all,768,1446,0.4685376286506653,0.5314623713493347,0.9600732922554016,0.6398718953132629,0.8502650856971741,0.0,-29.723962783813477
role_conditioned_ar_ppo_order_012,medium,0,8,22016,heterogeneity_pressure,256,457,0.4569690227508545,0.5430309772491455,0.9719242453575134,0.6476413607597351,0.8184134364128113,0.0,-25.668594360351562
role_conditioned_ar_ppo_order_012,medium,0,8,22016,medium,256,497,0.45023438334465027,0.5497656464576721,0.9873493909835815,0.6374666690826416,0.8051507472991943,0.0,-34.34231185913086
role_conditioned_ar_ppo_order_012,medium,0,8,22016,time_pressure,256,492,0.4977724552154541,0.5022275447845459,0.921512246131897,0.6350847482681274,0.9254236221313477,0.0,-29.160978317260742
role_conditioned_ar_ppo_order_012,medium,0,8,24064,all,768,1446,0.41556525230407715,0.5844347476959229,1.183518648147583,0.6348994970321655,0.8494414687156677,0.0,-24.46759605407715
role_conditioned_ar_ppo_order_012,medium,0,8,24064,heterogeneity_pressure,256,457,0.40081194043159485,0.5991880893707275,1.2107951641082764,0.6378580331802368,0.8178788423538208,0.0,-23.482484817504883
role_conditioned_ar_ppo_order_012,medium,0,8,24064,medium,256,497,0.4012152850627899,0.5987847447395325,1.2011704444885254,0.6276485919952393,0.8040878772735596,0.0,-26.398780822753906
role_conditioned_ar_ppo_order_012,medium,0,8,24064,time_pressure,256,492,0.4437647759914398,0.5562351942062378,1.1403512954711914,0.6394760012626648,0.9245731830596924,0.0,-23.521522521972656
role_conditioned_ar_ppo_order_012,medium,0,8,26112,all,768,1444,0.4804162383079529,0.5195837616920471,0.8549684882164001,0.643970787525177,0.8463240265846252,0.0013850415512465374,-32.615440368652344
role_conditioned_ar_ppo_order_012,medium,0,8,26112,heterogeneity_pressure,256,457,0.46118873357772827,0.5388113260269165,0.9217145442962646,0.6491695046424866,0.8158364295959473,0.0,-30.233139038085938
role_conditioned_ar_ppo_order_012,medium,0,8,26112,medium,256,496,0.4699168801307678,0.5300830602645874,0.8511554598808289,0.6377094984054565,0.8005960583686829,0.0020161290322580645,-36.785335540771484
role_conditioned_ar_ppo_order_012,medium,0,8,26112,time_pressure,256,491,0.5089187026023865,0.4910813271999359,0.7966961860656738,0.6454569697380066,0.9208940863609314,0.002036659877800407,-30.827842712402344
role_conditioned_ar_ppo_order_012,medium,0,8,28160,all,768,1435,0.4813487231731415,0.5186513066291809,0.8408849835395813,0.6405384540557861,0.8454051613807678,0.008362369337979094,-27.306509017944336
role_conditioned_ar_ppo_order_012,medium,0,8,28160,heterogeneity_pressure,256,457,0.4634871184825897,0.5365128517150879,0.8966585993766785,0.6432311534881592,0.8111079931259155,0.002188183807439825,-25.67475128173828
role_conditioned_ar_ppo_order_012,medium,0,8,28160,medium,256,490,0.46732380986213684,0.5326762199401855,0.8584995269775391,0.6347195506095886,0.8076891303062439,0.00816326530612245,-29.02285385131836
role_conditioned_ar_ppo_order_012,medium,0,8,28160,time_pressure,256,488,0.5121581554412842,0.487841933965683,0.7709676027297974,0.6438596248626709,0.9153940081596375,0.014344262295081968,-27.221920013427734
