method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,1,missile,2,2297,141,0.061384414453635176,580,439,0.756896551724138,43,495,0.08686868686868687,0.7351403368926714,0.06908201894174007,0.5648807036784957,62,1417,0.043754410726887794
autoregressive_ppo_order_012,learning,medium,medium,1,1,0-1-2,0,missile,0,2339,150,0.06412997007268063,159,9,0.05660377358490566,57,206,0.2766990291262136,0.7508079820818536,0.13845898265456769,0.5929067372555371,0,454,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,0-1-2,1,missile,1,2339,0,0.0,2334,2334,1.0,0,3272,0.0,0.0,0.0,0.0,125,7571,0.016510368511425174
autoregressive_ppo_order_012,learning,medium,medium,1,1,0-1-2,2,laser,2,2339,142,0.06070970500213767,1942,1800,0.9268795056642637,55,1795,0.03064066852367688,0.7648601317895793,0.1554799042620922,0.6458494764403384,27,4287,0.006298110566829951
autoregressive_ppo_order_012,learning,medium,time_pressure,1,1,0-1-2,0,missile,0,1670,150,0.08982035928143713,159,9,0.05660377358490566,67,191,0.3507853403141361,0.7603235028777763,0.1219589889935783,0.542119805352032,0,444,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,1,1,0-1-2,1,missile,1,1670,0,0.0,1668,1668,1.0,0,2380,0.0,0.0,0.0,0.0,119,5682,0.02094332981344597
autoregressive_ppo_order_012,learning,medium,time_pressure,1,1,0-1-2,2,laser,2,1670,109,0.06526946107784432,1428,1319,0.9236694677871149,54,1390,0.03884892086330935,0.7818736964859484,0.21951924504304893,0.686925726749485,21,3329,0.0063082006608591165
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,0,missile,0,2253,150,0.06657789613848203,152,2,0.013157894736842105,69,240,0.2875,0.7507224606531147,0.17488055094692437,0.6894383041902408,0,517,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,1,missile,1,2253,0,0.0,2204,2204,1.0,0,2684,0.0,0.0,0.0,0.0,71,6235,0.011387329591018444
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,2,laser,2,2253,134,0.05947625388371061,1632,1498,0.9178921568627451,69,1311,0.05263157894736842,0.7640800219086408,0.1035856492903453,0.6951422372107677,6,3131,0.0019163206643244969
