context_id,scenario,policy_seed,slot,environment_step,observation_hash,unit_index,resource_type,unit_cost,unit_ammo,legal_target_count,target_index,target_weight,target_tti,hit_probability,coverability_before,coverability_after,fcrc_externality,n1_total_substitution_mean
confirm_medium_seed19_safety03_e14_t30_u2,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,2,laser,0.5,10,3,3,1.1450799785609076,0.21157652916383823,0.5778038704612039,1.0236804679392684,1.0236804679392684,0.0,0.52283632196486
confirm_medium_seed19_safety04_e14_t30_u1,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,1,missile,2.0,3,3,1,0.7217334586046285,9.402449592342931,0.4801302059397979,1.3817019895349347,1.2938698311647414,0.08783215837019331,1.545773884281516
confirm_medium_seed19_safety04_e14_t30_u1,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,1,missile,2.0,3,3,2,0.5873120542101495,24.146228131692183,0.5529804436178769,1.4519068465011888,1.3640746881309957,0.08783215837019309,1.545773884281516
confirm_medium_seed19_safety04_e14_t30_u1,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,1,missile,2.0,3,3,3,1.1450799785609076,0.21157652916383823,0.787468781415154,1.0236804679392684,1.0236804679392684,0.0,1.545773884281516
confirm_medium_seed19_safety05_e14_t30_u0,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,0,missile,2.0,3,3,1,0.7217334586046285,9.402449592342931,0.7155656926772174,1.3817019895349347,1.3817019895349347,0.0,1.5829569571651518
confirm_medium_seed19_safety05_e14_t30_u0,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,0,missile,2.0,3,3,2,0.5873120542101495,24.146228131692183,0.7930107628317441,1.4519068465011888,1.4519068465011888,0.0,1.5829569571651518
confirm_medium_seed19_safety05_e14_t30_u0,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,0,missile,2.0,3,3,3,1.1450799785609076,0.21157652916383823,0.7107648333381203,1.0236804679392684,1.0236804679392684,0.0,1.5829569571651518
confirm_medium_seed19_resource00_e00_t46_u1,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,1,missile,2.0,3,3,0,0.27328250456778724,0.3283681397370539,0.7040518152573529,1.2685406667793977,1.2685406667793977,0.0,0.9965460281819105
confirm_medium_seed19_resource00_e00_t46_u1,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,1,missile,2.0,3,3,2,0.9598968208670536,2.9830833180927225,0.6576464341107536,0.6884472599536926,0.6322952859108554,0.05615197404283723,0.9965460281819105
confirm_medium_seed19_resource00_e00_t46_u1,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,1,missile,2.0,3,3,4,0.6514107221540681,6.094752875324802,0.7567331812241499,0.9649034948758655,0.9087515208330282,0.05615197404283723,0.9965460281819105
confirm_medium_seed19_resource01_e00_t46_u0,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,0,missile,2.0,3,3,0,0.27328250456778724,0.3283681397370539,0.4985795575310202,1.2685406667793977,1.2685406667793977,0.0,0.724899719003588
confirm_medium_seed19_resource01_e00_t46_u0,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,0,missile,2.0,3,3,2,0.9598968208670536,2.9830833180927225,0.8044775938146255,0.6884472599536926,0.6884472599536926,0.0,0.724899719003588
confirm_medium_seed19_resource01_e00_t46_u0,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,0,missile,2.0,3,3,4,0.6514107221540681,6.094752875324802,0.6212586364746093,0.9649034948758655,0.9649034948758655,0.0,0.724899719003588
confirm_medium_seed19_resource02_e00_t45_u1,medium,19,resource,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,1,missile,2.0,3,3,0,0.27328250456778724,1.32836814048563,0.699460932114545,1.2679299460314888,1.2679299460314888,0.0,1.5160303297452629
confirm_medium_seed19_resource02_e00_t45_u1,medium,19,resource,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,1,missile,2.0,3,3,2,0.9598968208670536,3.983083284077603,0.6391157459932215,0.6878365391427906,0.6878365391427906,0.0,1.5160303297452629
