record_type,grouping,group_value,n,contexts,zero_rate,mean,standard_deviation,minimum,p25,median,p75,maximum,outcome,outcome_rate,range
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|0|0|noop_engage,359,105.0,0.11420612813370473,0.3041107407234193,0.15410808310328789,0.0,0.19999999999999996,0.32258064516129037,0.38095238095238093,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|0|1|engage_engage,921,147.0,0.26275787187839306,0.28432862830256966,0.19259555987169133,0.0,0.0,0.33333333333333337,0.4,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|0|1|noop_engage,595,166.0,0.37815126050420167,0.15963585434173666,0.1467308173405188,0.0,0.0,0.16666666666666663,0.25,0.5,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|1|0|engage_engage,555,84.0,0.03783783783783784,0.5125182134256545,0.147519328934543,0.0,0.48,0.5517241379310345,0.5833333333333333,0.8,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|1|0|noop_engage,359,105.0,0.11420612813370473,0.3041107407234193,0.15410808310328789,0.0,0.19999999999999996,0.32258064516129037,0.38095238095238093,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|1|1|engage_engage,932,147.0,0.259656652360515,0.28394134477825467,0.19097324310733083,0.0,0.0,0.33333333333333337,0.4,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|1|1|noop_engage,598,166.0,0.3762541806020067,0.15903010033444814,0.1461865921289401,0.0,0.0,0.16666666666666663,0.25,0.5,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|2|0|engage_engage,555,84.0,0.03783783783783784,0.5125182134256545,0.147519328934543,0.0,0.48,0.5517241379310345,0.5833333333333333,0.8,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|2|0|noop_engage,359,105.0,0.11420612813370473,0.3041107407234193,0.15410808310328789,0.0,0.19999999999999996,0.32258064516129037,0.38095238095238093,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|2|1|engage_engage,927,144.0,0.26105717367853293,0.28241639697950377,0.19025789994892547,0.0,0.0,0.33333333333333337,0.4,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|2|1|noop_engage,592,164.0,0.38006756756756754,0.1579673423423423,0.14674859909341484,0.0,0.0,0.16666666666666663,0.25,0.5,,,
outcome_by_ds_quartile,ds_quartile,Q1,3199,883.0,,,,,,,,,downstream_argmax_changed,0.0,
outcome_by_ds_quartile,ds_quartile,Q1,3199,883.0,,,,,,,,,high_threat_legal_but_unassigned_changed,0.006836146122623371,
outcome_by_ds_quartile,ds_quartile,Q1,3199,883.0,,,,,,,,,prefix_denied_changed,0.04215623442284412,
outcome_by_ds_quartile,ds_quartile,Q1,3199,883.0,,,,,,,,,engagement_extreme_direction_nonzero,0.6970732749412518,
outcome_by_ds_quartile,ds_quartile,Q2,3902,864.0,,,,,,,,,downstream_argmax_changed,0.028852201257861636,
outcome_by_ds_quartile,ds_quartile,Q2,3902,864.0,,,,,,,,,high_threat_legal_but_unassigned_changed,0.1867138364779874,
outcome_by_ds_quartile,ds_quartile,Q2,3902,864.0,,,,,,,,,prefix_denied_changed,0.909748427672956,
outcome_by_ds_quartile,ds_quartile,Q2,3902,864.0,,,,,,,,,engagement_extreme_direction_nonzero,0.6231132075471698,
outcome_by_ds_quartile,ds_quartile,Q3,3046,801.0,,,,,,,,,downstream_argmax_changed,0.10886075949367088,
outcome_by_ds_quartile,ds_quartile,Q3,3046,801.0,,,,,,,,,high_threat_legal_but_unassigned_changed,0.20008438818565405,
outcome_by_ds_quartile,ds_quartile,Q3,3046,801.0,,,,,,,,,prefix_denied_changed,0.6187341772151899,
outcome_by_ds_quartile,ds_quartile,Q3,3046,801.0,,,,,,,,,engagement_extreme_direction_nonzero,0.39054852320675104,
outcome_by_ds_quartile,ds_quartile,Q4,2364,693.0,,,,,,,,,downstream_argmax_changed,0.12858208160221585,
outcome_by_ds_quartile,ds_quartile,Q4,2364,693.0,,,,,,,,,high_threat_legal_but_unassigned_changed,0.17833173537871527,
outcome_by_ds_quartile,ds_quartile,Q4,2364,693.0,,,,,,,,,prefix_denied_changed,0.26813678491530846,
outcome_by_ds_quartile,ds_quartile,Q4,2364,693.0,,,,,,,,,engagement_extreme_direction_nonzero,0.22126344945136894,
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|engage_engage|3,99,,,,,0.0,,,,0.8,,,0.8
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|engage_engage|4,450,,,,,0.0,,,,0.75,,,0.75
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|engage_engage|5,702,,,,,0.0,,,,0.7272727272727273,,,0.7272727272727273
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|engage_engage|6,2010,,,,,0.0,,,,0.75,,,0.75
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|noop_engage|2,63,,,,,0.0,,,,0.6666666666666667,,,0.6666666666666667
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|noop_engage|3,198,,,,,0.0,,,,0.6,,,0.6
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|noop_engage|4,450,,,,,0.0,,,,0.5714285714285714,,,0.5714285714285714
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|noop_engage|5,468,,,,,0.0,,,,0.5714285714285714,,,0.5714285714285714
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,0|noop_engage|6,1005,,,,,0.0,,,,0.5714285714285714,,,0.5714285714285714
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|engage_engage|3,175,,,,,0.0,,,,0.6666666666666667,,,0.6666666666666667
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|engage_engage|4,672,,,,,0.0,,,,0.6666666666666667,,,0.6666666666666667
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|engage_engage|5,1152,,,,,0.0,,,,0.6666666666666667,,,0.6666666666666667
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|engage_engage|6,2070,,,,,0.0,,,,0.6666666666666667,,,0.6666666666666667
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|noop_engage|2,172,,,,,0.0,,,,0.5,,,0.5
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|noop_engage|3,350,,,,,0.0,,,,0.5,,,0.5
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|noop_engage|4,672,,,,,0.0,,,,0.5,,,0.5
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|noop_engage|5,768,,,,,0.0,,,,0.5,,,0.5
nondegeneracy_stratum,unit_position|noop_pair_type|legal_action_count,1|noop_engage|6,1035,,,,,0.0,,,,0.5,,,0.5
