bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
1,sampled_engagement_action,302,20,heterogeneity_pressure,0.1,0.14690518773944172,role_conditioned_ar_ppo_order_012,0.16225165562913907,10,0.2
2,sampled_engagement_action,225,20,heterogeneity_pressure,0.2,0.24240036812093524,role_conditioned_ar_ppo_order_012,0.21777777777777776,10,0.30000000000000004
3,sampled_engagement_action,98,20,heterogeneity_pressure,0.30000000000000004,0.34595911174404376,role_conditioned_ar_ppo_order_012,0.4489795918367347,10,0.4
4,sampled_engagement_action,63,20,heterogeneity_pressure,0.4,0.44352874017897104,role_conditioned_ar_ppo_order_012,0.4126984126984127,10,0.5
5,sampled_engagement_action,57,20,heterogeneity_pressure,0.5,0.552453409161484,role_conditioned_ar_ppo_order_012,0.47368421052631576,10,0.6000000000000001
6,sampled_engagement_action,65,20,heterogeneity_pressure,0.6000000000000001,0.65029767201497,role_conditioned_ar_ppo_order_012,0.6923076923076923,10,0.7000000000000001
7,sampled_engagement_action,47,20,heterogeneity_pressure,0.7000000000000001,0.7377844947449704,role_conditioned_ar_ppo_order_012,0.7872340425531915,10,0.8
8,sampled_engagement_action,9,20,heterogeneity_pressure,0.8,0.825692163573371,role_conditioned_ar_ppo_order_012,0.6666666666666666,10,0.9
9,sampled_engagement_action,0,20,heterogeneity_pressure,0.9,nan,role_conditioned_ar_ppo_order_012,nan,10,1.0
0,sampled_engagement_action,0,20,medium,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,0,20,medium,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.2
2,sampled_engagement_action,876,20,medium,0.2,0.26455617917182783,factorized_engagement_ar_ppo_order_012,0.2534246575342466,8,0.30000000000000004
3,sampled_engagement_action,204,20,medium,0.30000000000000004,0.31564512819636104,factorized_engagement_ar_ppo_order_012,0.3431372549019608,8,0.4
4,sampled_engagement_action,0,20,medium,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.5
