context_id,scenario,policy_seed,slot,target_index,target_probability,repeat_count,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,reuse_probe_mean,reuse_probe_standard_error,reuse_probe_lower,reuse_probe_upper,reuse_total_mean,reuse_total_standard_error,reuse_total_lower,reuse_total_upper,option_edge_mean,option_edge_standard_error,option_edge_lower,option_edge_upper,option_threat_mean,option_threat_standard_error,option_threat_lower,option_threat_upper,ammo_gain_damage_mean,ammo_gain_damage_standard_error,ammo_gain_damage_lower,ammo_gain_damage_upper,ammo_gain_leaks_mean,ammo_gain_leaks_standard_error,ammo_gain_leaks_lower,ammo_gain_leaks_upper
heterogeneity_pressure_seed8_resource01_e04_t45_u0,heterogeneity_pressure,8,resource,2,0.5186417698860168,32,-0.96875,0.30613477094879465,-1.5687741510596376,-0.36872584894036253,-1.0703125,0.4500048127822831,-1.9523219330532748,-0.18830306694672516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource01_e04_t45_u0,heterogeneity_pressure,8,resource,3,0.48135823011398315,32,-0.125,0.16649857114566596,-0.45133719944550527,0.20133719944550527,0.009374999999999994,0.2770218699515466,-0.5335878651050313,0.5523378651050314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource02_e10_t48_u0,heterogeneity_pressure,8,resource,0,0.4905208349227905,32,0.375,0.09786017015735159,0.1831940664915909,0.5668059335084091,1.2484374999999999,0.24231623789623646,0.7734976737233764,1.7233773262766232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource02_e10_t48_u0,heterogeneity_pressure,8,resource,2,0.5094792246818542,32,0.34375,0.0964006989500829,0.15480463005783754,0.5326953699421625,1.2015624999999999,0.2452624127004979,0.720848171107024,1.6822768288929757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource03_e04_t44_u0,heterogeneity_pressure,8,resource,2,0.5185560584068298,32,0.5,0.2804086879147372,-0.04960102831288493,1.049601028312885,1.1609374999999997,0.5612563957849173,0.060874964261562026,2.261000035738437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource03_e04_t44_u0,heterogeneity_pressure,8,resource,3,0.4814439117908478,32,0.59375,0.2651056355188832,0.0741429543829889,1.1133570456170112,1.6609374999999997,0.5201665674940174,0.6414110277117258,2.6804639722882735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource04_e10_t47_u0,heterogeneity_pressure,8,resource,0,0.49071183800697327,32,0.625,0.13281991203226293,0.36467297241676466,0.8853270275832353,1.3484374999999997,0.25220283910259866,0.8541199353589064,1.842755064641093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource04_e10_t47_u0,heterogeneity_pressure,8,resource,2,0.5092881917953491,32,0.59375,0.14098855335600602,0.3174124354222282,0.8700875645777718,1.3015625,0.2728423823378589,0.7667914306177965,1.8363335693822034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource05_e09_t49_u0,heterogeneity_pressure,8,resource,1,0.49947038292884827,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource05_e09_t49_u0,heterogeneity_pressure,8,resource,2,0.5005296468734741,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,0,0.193481907248497,32,0.28125,0.19173641496226176,-0.09455337332603303,0.6570533733260331,0.1875,0.16382831788776775,-0.13360350306002478,0.5086035030600248,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,1,0.19690680503845215,32,0.125,0.07446042464765881,-0.020942432309411257,0.2709424323094113,0.15,0.13431051528502536,-0.11324860995864969,0.41324860995864965,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,2,0.20750974118709564,32,0.875,0.439368131341714,0.013838462570240573,1.7361615374297594,0.771875,0.4179680198591753,-0.04734231892398366,1.5910923189239836,0.03125,0.03125,-0.03,0.0925,0.03125,0.03125,-0.03,0.0925,0.03125,0.03125,-0.03,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,3,0.1994587928056717,32,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.015625,0.010868880369378943,-0.005678005523982729,0.03692800552398273,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,4,0.2026427537202835,32,0.21875,0.11652196767825757,-0.009633056649384825,0.44713305664938485,0.17343749999999997,0.14239781945976263,-0.1056622261411348,0.45253722614113473,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,0,0.1946171373128891,32,0.625,0.27219981986673664,0.09148835306119618,1.1585116469388037,0.978125,0.30206728498342555,0.38607312143248596,1.570176878567514,0.28125,0.08075219711382271,0.1229756936569075,0.4395243063430925,0.09375,0.10394802322438876,-0.10998812551980197,0.29748812551980197,0.75,0.2804086879147372,0.20039897168711507,1.299601028312885,-0.25,0.17960530202677488,-0.6020263919724788,0.10202639197247876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,1,0.19697163999080658,32,0.46875,0.23324661166850572,0.011586641129728792,0.9259133588702713,0.7406250000000002,0.2600736315946052,0.23088068207457402,1.2503693179254265,0.3125,0.08324928557283298,0.14933140027724737,0.47566859972275266,0.03125,0.10515325796802646,-0.17485038561733188,0.23735038561733188,1.125,0.34707882343556967,0.44472550606628347,1.8052744939337164,-0.15625,0.11098327940032954,-0.3737772276246459,0.06127722762464588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,2,0.20663253962993622,32,0.8125,0.19796087508524537,0.4244966848329191,1.200503315167081,1.225,0.2700059736495687,0.6957882916468455,1.7542117083531545,0.3125,0.08324928557283298,0.14933140027724737,0.47566859972275266,0.1875,0.08324928557283298,0.024331400277247367,0.35066859972275266,0.96875,0.37696895728702184,0.22989084371743718,1.7076091562825628,-0.25,0.17960530202677488,-0.6020263919724788,0.10202639197247876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,3,0.1997527927160263,32,0.375,0.1402043439573686,0.10019948584355753,0.6498005141564425,0.7968750000000001,0.18061188422076271,0.4428757069273052,1.150874293072695,0.34375,0.08530513305661301,0.1765519392090385,0.5109480607909616,0.125,0.10766959615176361,-0.08603240845745666,0.33603240845745663,1.09375,0.3630054179592116,0.38225938079994526,1.8052406192000547,-0.25,0.17960530202677488,-0.6020263919724788,0.10202639197247876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
