context_id,scenario,policy_seed,slot,minimum_horizon,maximum_horizon,mean_horizon,short_label,full_label,label_changed,short_zone_damage_mean,full_zone_damage_mean,short_high_threat_leaks_mean,full_high_threat_leaks_mean,short_resource_cost_mean,full_resource_cost_mean,extra_transitions,projected_window_transitions,projected_saved_transitions
time_pressure_seed9_resource02_e10_t04_u0,time_pressure,9,resource,20,21,20.5,AMBIGUOUS,AMBIGUOUS,False,-0.09137218720192403,-0.09014269697456528,-0.04972447268664837,-0.04972447268664837,-0.004140342120081186,-0.004140342120081186,4897,3246,1651
time_pressure_seed9_resource03_e06_t04_u1,time_pressure,9,resource,17,27,22.0,AMBIGUOUS,AMBIGUOUS,False,0.05253043546725095,0.10053316150899544,0.03175072744488716,0.06239340268075466,0.046625619288533926,0.04683979507535696,3129,2792,337
time_pressure_seed9_resource04_e04_t04_u0,time_pressure,9,resource,15,25,20.333333333333332,AMBIGUOUS,AMBIGUOUS,False,-0.021588215330226247,-0.0028755798129855015,-0.05394637119024992,-0.05394637119024992,0.11756724771112204,0.06641543563455343,3313,2675,638
time_pressure_seed9_resource05_e11_t04_u0,time_pressure,9,resource,18,27,22.333333333333332,AMBIGUOUS,AMBIGUOUS,False,-0.03610917284028875,0.004670362024451119,-0.03174998797476292,-0.04224320501089096,-0.01569258375093341,0.00014861812815070152,4812,2910,1902
time_pressure_seed10_safety00_e09_t24_u2,time_pressure,10,safety,3,3,3.0,AMBIGUOUS,AMBIGUOUS,False,-0.15666511320708737,-0.15666511320708737,-0.1875,-0.1875,0.453125,0.453125,121,121,0
time_pressure_seed10_safety01_e04_t16_u2,time_pressure,10,safety,4,11,7.5,ENGAGE,AMBIGUOUS,True,-0.15318594541645356,-0.11290586905057301,0.0,0.0,0.00768848555162549,0.0,1152,832,320
time_pressure_seed10_safety02_e09_t23_u2,time_pressure,10,safety,4,4,4.0,AMBIGUOUS,AMBIGUOUS,False,-0.10444340880472491,-0.10444340880472491,-0.125,-0.125,0.390625,0.390625,178,178,0
time_pressure_seed10_safety03_e09_t22_u2,time_pressure,10,safety,5,5,5.0,AMBIGUOUS,AMBIGUOUS,False,-0.02611085220118123,-0.02611085220118123,-0.03125,-0.03125,0.453125,0.453125,237,237,0
time_pressure_seed10_safety04_e04_t15_u2,time_pressure,10,safety,5,12,8.5,AMBIGUOUS,AMBIGUOUS,False,-0.0655289427545214,-0.025285262864211046,0.0,0.0,0.0998599985614419,0.0,1248,928,320
time_pressure_seed10_safety05_e03_t12_u2,time_pressure,10,safety,7,15,11.0,AMBIGUOUS,AMBIGUOUS,False,-0.03648623455207695,-0.010497904803894766,-0.01564978715032339,-0.01564978715032339,0.007816631346940994,0.0,1534,1183,351
time_pressure_seed10_resource00_e11_t04_u1,time_pressure,10,resource,20,31,25.333333333333332,AMBIGUOUS,AMBIGUOUS,False,0.09188304293165897,0.10471338070154718,0.06317485682666302,0.0530504509806633,-0.009854728821665049,-0.005062202922999859,5355,3424,1931
time_pressure_seed10_resource01_e04_t04_u1,time_pressure,10,resource,16,26,21.666666666666668,AMBIGUOUS,AMBIGUOUS,False,0.042236913223736336,0.059720310794542424,0.0,0.0,-0.0003615915775299072,-0.015559583902359009,3084,2786,298
