context_id,scenario,policy_seed,repeat,a_total_return_delta,a_zone_damage_delta,a_high_threat_leaks_delta,a_resource_cost_delta,b_total_return_delta,b_zone_damage_delta,b_high_threat_leaks_delta,b_resource_cost_delta,c_total_return_delta,c_zone_damage_delta,c_high_threat_leaks_delta,c_resource_cost_delta
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,19,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,20,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,21,53.98428078856722,-0.8027043158137577,0.0,0.0,53.98428078856722,-0.8027043158137577,0.0,0.0,53.48428078856722,-0.8027043158137577,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,22,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,23,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,24,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,25,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,26,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,27,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,28,53.98428078856722,-0.8027043158137577,0.0,0.0,53.98428078856722,-0.8027043158137577,0.0,0.0,53.48428078856722,-0.8027043158137577,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,29,53.98428078856722,-0.8027043158137577,0.0,0.0,53.98428078856722,-0.8027043158137577,0.0,0.0,53.98428078856722,-0.8027043158137577,0.0,0.0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,30,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
